MISSOURI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
00000,"$100,000 under $200,000",365360,44830,304820,10160,338750,7910,213130,191230,982230,170,130,40,0,16110,119410,49617554,365360,50136473,317410,36016829,211720,344208,137780,868728,129410,651792,23770,22124,67810,1123185,121500,1222559,71180,2040287,110280,4407590,14860,6270,20390,84770,2056746,39210,1199132,131800,518919,17730,4753,3510,56066,13790,122497,8410,52132,51840,62397,298870,7065291,298790,6919107,65490,139467,65830,2015482,9659885,12790,247508,62100,430044,3040,7406,61580,261443,51900,38549,64680,578317,65820,587451,53170,515212,450,2737,1890,860,1610,6123,57430,531909,3850,90029,101690,466354,365140,40010562,364740,5942359,20,192,330,1967,206700,590774,49390,9859,36270,21232,27740,36838,0,0,161160,486140,7510,9934,51370,214598,0,0,360,2463,361510,5941655,0,0,0,0,40,93,22930,21069,0,0,362730,5346033,363480,5617436,1070,293,90,116,135220,575039,227140,903572,214090,811348,16050,93228,
00000,"$200,000 or more",110840,9270,96480,1340,103190,1510,79310,30260,319540,0,0,0,0,680,36780,52800317,110840,53468347,95990,26592628,88740,789235,71810,2622014,68740,2174576,4960,12457,25900,1472988,68480,6328371,23750,1259253,25830,1397179,2230,170,629,20740,615283,36560,8586886,38590,668030,1660,416,6090,196037,13300,177204,690,6845,0,0,57170,1377558,57160,1345588,13330,28761,50860,3090632,31807135,1460,55168,44440,1273845,5250,15279,48010,399773,39080,44110,50570,500587,50930,512685,40880,604362,250,3323,1240,446,5280,87506,47500,1490632,2750,97870,56260,1260260,110800,46680122,110730,10968879,510,10059,0,0,73190,289706,37270,68857,9920,5254,0,0,0,0,40310,123969,1620,2300,25480,248099,0,0,0,0,109570,11137643,0,0,0,0,0,0,0,0,0,0,110640,10678102,110740,11355306,50170,98560,61330,238651,57140,1352683,50420,1189962,36010,409651,15240,707372,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63005,,"8,940","3,300","5,200",330,"7,990",340,"5,160","3,550","19,470",0,0,0,0,230,"2,690","2,302,368","8,940","2,336,666","7,370","1,318,619","5,520","30,287","5,170","93,894","4,940","73,369",330,467,"1,690","77,525","4,650","197,344","1,770","71,241","1,720","62,903",80,90,329,"1,670","42,647","1,630","424,743","2,590","34,298",170,43,350,"10,532",750,"9,392",220,"1,492",380,424,"5,900","101,969","5,900","99,227","1,290","2,742","3,030","131,765","1,445,457",490,"9,859","2,400","58,189",610,"1,472","2,860","28,937","2,340","2,533","3,020","28,763","3,030","29,068","2,570","41,573",40,357,120,40,320,"5,052","2,740","41,885",150,"3,699","3,080","52,104","7,650","2,021,038","7,470","486,498",30,291,100,212,"4,610","16,293","2,370","6,174",540,261,300,380,140,27,"2,480","6,833",160,150,"1,520","14,059",140,"1,031",170,"1,243","8,390","489,741",210,295,160,246,130,239,270,264,70,79,"7,220","470,205","7,430","498,677","2,140","5,769","2,220","7,323","3,290","64,807","5,300","54,609","4,620","23,996",810,"30,601",
63005,"$1 under $25,000",1880,1730,80,60,1620,110,840,840,930,0,0,0,0,50,200,15681,1880,16117,1510,12195,500,276,590,993,570,754,** ,** ,190,654,480,808,80,527,120,772,** ,** ,** ,60,132,40,53,230,436,** ,** ,0,0,30,101,** ,** ,50,53,1830,15443,1830,15165,150,278,50,1393,619,30,977,** ,** ,30,16,20,181,** ,** ,50,197,50,197,** ,** ,0,0,0,0,** ,** ,** ,** ,0,0,80,32,650,3195,500,278,0,0,** ,** ,180,48,80,4,0,0,50,27,40,9,20,8,0,0,150,157,60,329,60,321,1480,1358,160,202,120,167,40,66,70,67,40,21,410,230,550,392,0,0,0,0,200,138,1390,1102,1370,1086,** ,** ,
63005,"$25,000 under $50,000",800,570,150,60,690,30,340,440,1140,0,0,0,0,60,200,28794,800,29526,630,20832,300,390,280,1280,260,831,** ,** ,110,1287,240,921,110,1461,120,1778,** ,30,95,150,1347,50,-20,240,732,40,9,20,206,40,271,40,167,110,123,710,10512,710,10275,120,237,90,2666,3318,60,1291,70,130,40,39,70,458,70,35,90,535,90,569,70,699,0,0,0,0,** ,** ,80,272,** ,** ,130,122,770,15837,750,1693,0,0,80,71,280,242,80,14,30,16,70,82,70,11,100,118,** ,** ,90,238,60,479,70,501,740,2672,50,93,40,79,50,85,40,41,30,58,660,1451,700,1707,0,0,0,0,150,219,620,1180,600,1104,50,81,
63005,"$50,000 under $75,000",600,360,180,40,530,30,310,340,970,0,0,0,0,60,220,37408,600,38261,450,25045,310,601,270,2036,250,1476,50,40,100,1254,250,1713,120,2155,140,2783,** ,** ,** ,160,2911,60,-404,200,853,20,5,** ,** ,40,250,40,274,100,128,480,8116,480,7899,110,218,120,3577,7708,70,1439,80,326,40,58,100,704,80,48,120,887,120,895,60,681,** ,** ,** ,** ,** ,** ,100,444,0,0,170,339,590,25627,580,3084,0,0,** ,** ,220,301,110,19,** ,** ,40,62,30,7,100,194,** ,** ,70,283,20,223,20,233,570,4144,** ,** ,** ,** ,40,88,30,32,** ,** ,540,2783,560,3079,0,0,0,0,160,355,430,1416,400,1267,40,148,
63005,"$75,000 under $100,000",500,180,270,30,430,30,310,240,1010,0,0,0,0,** ,230,43041,500,44004,340,25357,290,706,250,2120,240,1569,40,30,90,2075,230,2044,150,3827,150,4565,** ,** ,** ,170,3964,70,-1181,130,963,** ,** ,** ,** ,40,342,** ,** ,30,22,370,7514,370,7256,120,257,120,3969,10562,70,1223,90,452,30,56,110,830,90,64,120,994,120,1002,80,985,** ,** ,** ,** ,** ,** ,100,647,** ,** ,160,449,490,31162,490,3991,0,0,20,141,240,383,120,23,** ,** ,20,36,0,0,130,302,** ,** ,70,383,** ,** ,20,188,480,5226,0,0,0,0,** ,** ,20,20,0,0,470,3608,480,4031,0,0,0,0,170,590,320,1162,290,1077,40,85,
63005,"$100,000 under $200,000",1900,300,1490,80,1720,50,1100,810,4870,0,0,0,0,30,870,281670,1900,286630,1480,174546,1360,3336,1240,12434,1180,9188,110,99,410,10584,1100,14931,610,25420,570,22966,40,30,120,620,17653,300,5135,600,4960,50,15,50,908,140,1607,80,497,90,98,1190,28043,1190,27068,440,975,710,22741,107740,180,3189,610,4408,90,200,680,5486,550,425,700,6823,710,6899,600,7918,** ,** ,40,17,70,221,630,4152,40,321,760,2940,1890,227893,1890,35026,** ,** ,** ,** ,1220,2819,540,186,160,75,120,173,0,0,800,2218,70,46,320,1884,0,0,** ,** ,1870,35508,0,0,0,0,** ,** ,110,104,0,0,1880,32207,1880,34235,40,12,** ,** ,810,4094,1080,5313,930,4285,190,1028,
63005,"$200,000 or more",3260,160,3030,60,3000,90,2260,880,10550,0,0,0,0,30,970,1895774,3260,1922128,2960,1060644,2760,24978,2540,75031,2440,59551,130,298,790,61671,2350,176927,700,37851,620,30039,40,30,114,510,16640,1110,421160,1190,26354,60,14,280,9418,460,6821,60,554,0,0,1320,32341,1320,31564,350,777,1940,97419,1315510,80,1740,1550,52873,380,1103,1880,21278,1550,1961,1940,19327,1940,19506,1760,31290,40,357,80,23,250,4831,1830,36370,110,3378,1780,48222,3260,1717324,3260,442426,30,291,** ,** ,2470,12500,1440,5928,350,170,0,0,0,0,1330,3993,90,104,820,11114,0,0,** ,** ,3250,440833,0,0,0,0,0,0,0,0,0,0,3260,429926,3260,455233,2100,5757,2220,7323,1800,59411,1460,44436,1030,15177,490,29259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63010,,"17,890","8,590","6,900","1,950","16,160",760,"7,730","11,990","32,710",270,40,230,0,"2,120","4,860","1,031,389","17,890","1,040,321","14,820","791,391","5,700","5,325","3,250","9,307","3,000","6,671",400,258,"2,220","24,080","2,530","12,573","2,270","34,374","4,090","89,854",30,460,"1,405","3,030","41,029",550,"19,652","3,980","8,932",380,96,30,580,300,"1,727",230,973,"1,820","2,020","16,830","294,659","16,830","288,139","3,310","6,518","1,050","31,475","126,609",350,"6,399",910,"5,307",120,175,950,"2,793",800,627,"1,010","6,937","1,050","7,122",820,"6,926",0,0,20,8,0,0,820,"5,912",80,"2,932","2,030","6,097","14,400","718,139","14,370","101,397",0,0,350,379,"6,470","12,550",790,208,840,487,970,"1,013","1,230",229,"4,680","10,363",180,98,"1,700","4,244",630,"4,213",690,"4,542","17,060","121,340","2,310","5,041","1,990","4,384","1,740","3,025",740,618,260,220,"12,830","88,847","13,540","94,081",130,118,130,99,"3,060","8,306","14,270","35,493","14,100","34,425",230,"1,065",
63010,"$1 under $25,000",5550,4290,580,590,4920,320,2040,3630,6170,190,20,170,0,630,1480,67076,5550,67965,4110,49113,1120,668,550,705,500,424,** ,** ,620,4504,440,409,530,3234,1000,8467,** ,80,253,420,903,60,-134,730,889,** ,** ,0,0,60,175,** ,** ,150,123,5490,72707,5490,70457,1200,2249,60,1494,912,50,1058,30,20,20,11,40,77,30,7,60,130,60,132,30,209,0,0,0,0,0,0,30,78,0,0,160,107,2120,11673,2110,1207,0,0,120,48,650,204,40,1,30,8,120,59,250,42,260,94,0,0,520,722,310,2010,320,1994,4880,8820,1410,3174,1240,2823,680,1028,150,121,160,108,1710,1003,2160,1740,0,0,0,0,410,342,4620,7419,4610,7397,** ,** ,
63010,"$25,000 under $50,000",4460,2500,1010,770,4100,160,1860,3320,7480,60,20,40,0,740,1080,163687,4460,165404,3740,128485,1040,946,570,1051,520,699,60,29,500,5925,420,792,490,4970,910,15016,** ,140,389,900,6598,80,357,910,1717,90,21,** ,** ,90,327,70,210,470,490,4320,70785,4320,69294,750,1491,140,3211,5407,80,1493,80,153,50,52,110,276,90,46,130,496,140,513,90,644,0,0,20,8,0,0,90,349,30,213,470,697,4420,89185,4400,9774,0,0,150,120,1810,1993,110,4,160,93,250,245,710,140,1170,1493,30,8,380,1046,250,1717,260,1809,4360,17367,870,1851,720,1548,760,1489,150,122,100,112,3560,7780,3740,8915,0,0,0,0,610,854,3830,9295,3810,9237,50,77,
63010,"$50,000 under $75,000",2910,1140,1310,360,2650,100,1360,2020,5860,20,** ,20,0,360,880,179016,2910,180633,2460,136694,1060,1007,620,1688,570,1118,80,50,360,3755,450,1346,410,5425,780,17469,30,90,284,690,11216,90,639,770,1617,70,17,** ,** ,50,272,60,262,410,453,2730,52105,2730,50945,580,1160,170,4245,10879,80,1239,150,390,30,52,150,373,140,109,170,853,170,891,130,1217,0,0,** ,** ,0,0,130,733,** ,** ,440,803,2900,122038,2900,14650,0,0,50,69,1300,2604,190,12,160,92,170,197,270,47,970,2220,30,17,280,716,70,486,70,462,2880,18104,30,16,30,13,240,423,100,90,** ,** ,2660,12046,2720,12891,0,0,0,0,580,1012,2330,6212,2290,6135,50,77,
63010,"$75,000 under $100,000",2060,400,1460,150,1850,90,970,1390,5030,** ,** ,** ,0,220,620,178136,2060,179357,1840,139538,890,776,460,1322,420,996,90,61,290,2637,360,1301,320,4921,570,17111,** ,70,247,480,9495,70,1015,600,1221,50,15,** ,** ,30,174,50,193,340,405,1860,41242,1860,40498,370,743,200,4683,17266,60,1118,190,738,** ,** ,190,477,150,137,190,1289,200,1313,170,1225,0,0,** ,** ,0,0,150,797,** ,** ,320,723,2050,131404,2050,16536,0,0,30,142,1000,2752,120,9,160,97,180,190,0,0,860,2417,30,12,210,504,** ,** ,40,277,2050,18489,0,0,0,0,60,85,120,90,** ,** ,2000,13784,2020,14440,0,0,0,0,450,963,1600,5001,1570,4925,40,76,
63010,"$100,000 under $200,000",2570,240,2230,80,2340,90,1300,1510,7160,** ,** ,** ,0,170,720,337875,2570,339939,2360,270507,1350,1388,860,3370,810,2572,170,118,390,3597,690,4725,450,11976,740,26968,** ,80,232,500,11732,170,3310,880,2064,170,43,30,580,40,333,50,308,450,549,2210,52579,2210,51774,380,805,360,10550,49153,80,1491,340,2120,20,60,350,1079,290,221,350,3043,360,3080,300,2497,0,0,** ,** ,0,0,310,2715,30,693,510,1397,2570,273215,2570,40093,0,0,** ,** ,1500,4295,260,24,290,176,250,322,0,0,1260,3658,90,61,260,682,0,0,** ,** ,2560,40365,0,0,0,0,** ,** ,220,195,0,0,2560,35799,2560,36758,** ,** ,** ,** ,840,2633,1730,6218,1680,5946,60,272,
63010,"$200,000 or more",340,20,310,** ,300,** ,200,120,1010,0,0,0,0,** ,80,105599,340,107023,310,67054,240,540,190,1171,180,862,** ,** ,60,3662,170,4000,70,3848,90,4823,** ,** ,** ,40,1085,80,14465,90,1424,** ,** ,** ,** ,30,446,** ,** ,0,0,220,5241,220,5171,30,70,120,7292,42992,** ,** ,120,1886,** ,** ,110,511,100,107,110,1126,120,1193,100,1134,0,0,** ,** ,0,0,110,1240,20,2026,130,2370,340,90624,340,19137,0,0,0,0,210,702,70,158,40,21,0,0,0,0,160,481,** ,** ,50,574,0,0,0,0,330,18195,0,0,0,0,0,0,0,0,0,0,340,18435,340,19337,130,118,130,99,170,2502,160,1348,140,785,30,563,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63011,,"18,230","7,930","8,750","1,200","16,230",740,"8,690","9,560","35,840",150,40,110,0,"1,050","6,300","1,827,871","18,230","1,851,401","14,340","1,245,005","8,930","17,398","7,150","54,716","6,740","41,327",850,735,"3,110","59,051","6,130","75,791","3,820","93,910","4,650","133,533",50,240,871,"4,160","78,609","1,440","79,583","5,160","23,530",610,158,220,"4,320",720,"5,458",380,"2,147","1,700","1,970","15,420","280,861","15,420","272,650","4,020","8,212","2,810","87,798","515,216",810,"16,113","2,410","21,837",370,599,"2,610","13,826","2,120","1,485","2,750","23,197","2,800","23,609","2,170","21,907",30,183,110,74,130,529,"2,460","20,786",100,"2,311","4,290","17,364","15,370","1,454,972","15,190","250,554",0,0,330,425,"7,940","17,600","2,550",949,"1,150",647,"1,040","1,267",580,113,"5,190","13,720",280,100,"2,530","10,230",580,"4,228",630,"4,617","17,160","256,475","1,050","2,040",840,"1,623",800,"1,417",840,769,250,238,"14,300","232,954","14,910","247,319",990,"1,316",980,"1,842","5,310","28,144","12,300","37,021","11,680","31,540",770,"5,458",
63011,"$1 under $25,000",4330,3640,430,200,3760,240,1690,2390,3660,60,** ,60,0,240,1110,47447,4330,48521,3160,32264,1070,682,890,1761,820,1148,30,13,590,3615,740,1058,490,3114,660,5420,** ,40,124,370,805,70,-134,690,1074,20,5,** ,** ,80,228,20,84,160,146,4210,49016,4210,47390,860,1626,120,3217,1695,100,2193,30,32,80,53,80,308,60,15,100,363,120,411,50,391,0,0,0,0,0,0,70,159,** ,** ,170,94,1550,8168,1420,791,0,0,90,29,380,122,60,2,** ,** ,110,62,130,23,90,32,** ,** ,470,618,280,1923,280,1899,3560,4700,670,1229,530,1005,240,361,170,144,160,106,1200,669,1580,1309,0,0,0,0,440,349,3330,3736,3300,3681,30,32,
63011,"$25,000 under $50,000",2870,1810,630,310,2520,130,1210,1820,4480,60,40,20,0,300,930,105693,2870,107897,2200,74218,1000,1122,720,2497,680,1587,60,38,450,5985,600,1301,500,5836,640,9629,** ,50,165,720,5950,120,1048,830,2204,70,18,** ,** ,120,578,70,302,370,455,2670,42819,2670,41550,630,1269,200,4903,7693,120,2271,110,180,80,79,160,686,120,49,190,932,200,972,120,964,0,0,** ,** ,20,10,140,592,** ,** ,490,718,2820,57474,2770,6198,0,0,150,111,1070,1037,200,16,80,48,210,217,330,68,530,671,30,8,370,1033,230,1729,240,1845,2710,10172,380,811,310,618,340,706,110,93,90,132,2340,5161,2490,6249,0,0,0,0,580,959,2250,4867,2200,4721,70,146,
63011,"$50,000 under $75,000",2220,1100,780,270,1990,90,1120,1310,4030,30,** ,30,0,170,920,139018,2220,141279,1670,88648,1090,1401,850,3892,790,2709,150,106,350,4622,710,2955,560,8810,690,15872,** ,20,95,730,12621,130,1151,680,2261,70,16,40,420,100,556,70,346,290,371,1900,34528,1900,33278,630,1250,330,7945,20906,160,2760,260,783,60,82,290,1259,240,94,310,1989,320,2052,230,1780,** ,** ,** ,** ,** ,** ,270,1127,30,307,520,929,2210,95823,2210,11525,0,0,50,121,930,1663,300,36,90,49,140,192,120,22,600,1327,30,14,280,872,70,576,70,583,2150,13634,** ,** ,** ,** ,170,258,100,93,** ,** ,2030,9862,2090,10803,0,0,0,0,610,1363,1610,4176,1550,4005,80,172,
